artist_name,danceability,energy,acousticness,valence
Nucleya,0.7859,1.0,0.0309,0.5631
Jubin Nautiyal,0.4628,0.4383,0.535,0.4649
Pritam,0.7728,0.8397,0.0568,0.5651
AP Dhillon,0.5476,0.5246,0.0211,0.2533
Pritam,0.7669,0.9259,0.0745,0.5209
Pritam,0.6904,0.8652,0.0765,0.5758
AP Dhillon,0.7052,0.4686,0.0854,0.1122
Yo Yo Honey Singh,0.6984,0.7339,0.0404,0.6521
Arijit Singh,0.3337,0.3464,0.4931,0.2083
Pritam,0.6852,0.7341,0.1197,0.5882
Arijit Singh,0.3564,0.4153,0.7245,0.2046
Pritam,0.7217,0.7236,0.0893,0.5108
Shankar-Ehsaan-Loy,0.7377,0.7827,0.1338,0.716
Shreya Ghoshal,0.53,0.423,0.8004,0.5038
Jubin Nautiyal,0.5431,0.3904,0.6517,0.4415
Jubin Nautiyal,0.4899,0.1852,0.7262,0.3902
A.R. Rahman,0.4342,0.5232,0.4502,0.6075
Arijit Singh,0.3681,0.2955,0.6796,0.3329
Yo Yo Honey Singh,0.8797,0.8052,0.0686,0.7044
Nucleya,0.5675,0.9672,0.0405,0.5078
A.R. Rahman,0.6257,0.495,0.5098,0.7063
Yo Yo Honey Singh,0.7365,0.8768,0.0378,0.7379
Nucleya,0.6609,0.944,0.0209,0.5114
Shankar-Ehsaan-Loy,0.7053,0.762,0.1189,0.6348
Nucleya,0.666,0.9122,0.0341,0.4522
Arijit Singh,0.2943,0.4312,0.712,0.3666
Shankar-Ehsaan-Loy,0.8033,0.8211,0.1289,0.6878
AP Dhillon,0.5463,0.5414,0.0838,0.2363
A.R. Rahman,0.5432,0.5667,0.3843,0.6487
Arijit Singh,0.3783,0.2799,0.8,0.3326
A.R. Rahman,0.5884,0.5796,0.45,0.6262
AP Dhillon,0.5201,0.414,0.0162,0.244
Shreya Ghoshal,0.4641,0.5053,0.9043,0.6185
AP Dhillon,0.5374,0.4557,0.1498,0.2056
Shankar-Ehsaan-Loy,0.6588,0.7436,0.1488,0.6046
Shreya Ghoshal,0.6141,0.4164,0.7575,0.444
Yo Yo Honey Singh,0.7327,0.7859,0.0501,0.7517
